sent1	sent2	score	score2	datamuse_similarity
A rooster is an adult male chicken.	A voyage is a long journey on a ship or in a spacecraft.	0.02	0.09	0.1660499537465309
Noon is 12 o'clock in the middle of the day.	String is thin rope made of twisted threads, used for tying things together or tying up parcels.	0.05	0.2	0.1113875069098949
Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.	A furnace is a container or enclosed space in which a very hot fire is made, for example to melt metal, burn rubbish or produce steam.	0.19	0.63	0.1284601359191115
An autograph is the signature of someone famous which is specially written for a fan to keep.	The shores or shore of a sea, lake or wide river is the land along the edge of it.	0.02	0.09	0.1959093149334647
An automobile is a car.	In legends and fairy stories, a wizard is a man who has magic powers.	0.08	0.26	0.1412859560067682
A mound of something is a large rounded pile of it.	A stove is a piece of equipment which provides heat, either for cooking or for heating a room.	0.02	0.26	0.1844720496894409
A grin is a broad smile.	An implement is a tool or other piece of equipment.	0.02	0.08	0.1832711774107618
An Asylum is a psychiatric hospital.	Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.	0.02	0.09	0.0993502977801841
An Asylum is a psychiatric hospital.	A monk is a member of a male religious community that is usually separated from the outside world.	0.15	0.34	0.1125892277741725
A graveyard is an area of land, sometimes near a church, where dead people are buried.	If you describe a place or situation as a madhouse you mean that it is full of confusion and noise.	0.09	0.32	0.1841676367869615
Glass is a hard transparent substance that is used to make things such as windows and bottles.	A magician is a person who entertains people by doing magic tricks.	0.03	0.12	0.1108792068875554
A boy is a child who will grow up to be a man.	A rooster is an adult male chicken.	0.43	0.72	0.1636060100166945
A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.	A jewel is a precious stone used to decorate valuable things that you wear, such as rings or necklaces.	0.21	0.48	0.171060957603881
A monk is a member of a male religious community that is usually separated from the outside world.	A slave is someone who is the property of another person and has to work for that person.	0.18	0.38	0.2350737532193865
An Asylum is a psychiatric hospital.	A cemetery is a place where dead people's bodies or their ashes are buried.	0.15	0.42	0.1513002364066193
The coast is an area of land that is next to the sea.	A forest is a large area where trees grow close together.	0.19	0.34	0.1592056546617301
A grin is a broad smile.	A lad is a young man or boy.	0.05	0.14	0.2443306510607169
The shores or shore of a sea, lake or wide river is the land along the edge of it.	Woodland is land with a lot of trees.	0.33	0.42	0.3094890510948905
A monk is a member of a male religious community that is usually separated from the outside world.	In ancient times, an oracle was a priest or priestess who made statements about future events or about the truth.	0.45	0.61	0.149752208575738
A boy is a child who will grow up to be a man.	A sage is a person who is regarded as being very wise.	0.17	0.35	0.1593714927048261
An automobile is a car.	A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.	0.08	0.21	0.1031746031746031
A mound of something is a large rounded pile of it.	The shores or shore of a sea, lake or wide river is the land along the edge of it.	0.14	0.29	0.2021512179689971
A lad is a young man or boy.	In legends and fairy stories, a wizard is a man who has magic powers.	0.13	0.27	0.2212713936430318
A forest is a large area where trees grow close together.	A graveyard is an area of land, sometimes near a church, where dead people are buried.	0.26	0.4	0.2430639324487333
Food is what people and animals eat.	A rooster is an adult male chicken.	0.22	0.44	0.0774193548387096
A cemetery is a place where dead people's bodies or their ashes are buried.	Woodland is land with a lot of trees.	0.15	0.31	0.1345306675703151
The shores or shore of a sea, lake or wide river is the land along the edge of it.	A voyage is a long journey on a ship or in a spacecraft.	0.08	0.23	0.1707620528771384
A bird is a creature with feathers and wings, females lay eggs and most birds can fly.	Woodland is land with a lot of trees.	0.05	0.18	0.1741659014386287
The coast is an area of land that is next to the sea.	A hill is an area of land that is higher than the land that surrounds it.	0.4	0.53	0.4738041002277904
A furnace is a container or enclosed space in which a very hot fire is made, for example to melt metal, burn rubbish or produce steam.	An implement is a tool or other piece of equipment.	0.2	0.46	0.1272646928855502
A crane is a large machine that moves heavy things by lifting them in the air.	A rooster is an adult male chicken.	0.08	0.22	0.1229690984389932
A hill is an area of land that is higher than the land that surrounds it.	Woodland is land with a lot of trees.	0.58	0.73	0.291761148904006
A car is a motor vehicle with room for a small number of passengers.	When you make a journey, you travel from one place to another.	0.29	0.52	0.1295660318451451
A cemetery is a place where dead people's bodies or their ashes are buried.	A mound of something is a large rounded pile of it.	0.23	0.44	0.1240922008209661
Glass is a hard transparent substance that is used to make things such as windows and bottles.	A jewel is a precious stone used to decorate valuable things that you wear, such as rings or necklaces.	0.43	0.71	0.3608380755302638
A magician is a person who entertains people by doing magic tricks.	In ancient times, an oracle was a priest or priestess who made statements about future events or about the truth.	0.52	0.65	0.1128622267412302
A crane is a large machine that moves heavy things by lifting them in the air.	An implement is a tool or other piece of equipment.	0.74	0.89	0.1339822502147151
Your brother is a boy or a man who has the same parents as you.	A lad is a young man or boy.	0.51	0.53	0.2915737851092287
A sage is a person who is regarded as being very wise.	In legends and fairy stories, a wizard is a man who has magic powers.	0.61	0.78	0.1455589327929753
In ancient times, an oracle was a priest or priestess who made statements about future events or about the truth.	A sage is a person who is regarded as being very wise.	1.13	0.94	0.1244903506387605
A bird is a creature with feathers and wings, females lay eggs and most birds can fly.	A crane is a large machine that moves heavy things by lifting them in the air.	0.14	0.3	0.1154102735156771
A bird is a creature with feathers and wings, females lay eggs and most birds can fly.	A cock is an adult male chicken.	0.65	0.63	0.1212215643502648
Food is what people and animals eat.	Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.	0.97	0.94	0.1159120310478654
Your brother is a boy or a man who has the same parents as you.	A monk is a member of a male religious community that is usually separated from the outside world.	0.18	0.37	0.1637729981860586
An Asylum is a psychiatric hospital.	If you describe a place or situation as a madhouse you mean that it is full of confusion and noise.	0.86	0.86	0.1246803069053708
A furnace is a container or enclosed space in which a very hot fire is made, for example to melt metal, burn rubbish or produce steam.	A stove is a piece of equipment which provides heat, either for cooking or for heating a room.	1.39	0.99	0.1919903401086737
A magician is a person who entertains people by doing magic tricks.	In legends and fairy stories, a wizard is a man who has magic powers.	1.42	0.92	0.2488827775867995
A hill is an area of land that is higher than the land that surrounds it.	A mound of something is a large rounded pile of it.	1.17	1.01	0.2267657992565055
Cord is strong, thick string.	String is thin rope made of twisted threads, used for tying things together or tying up parcels.	1.88	1.22	0.09401137504182
Glass is a hard transparent substance that is used to make things such as windows and bottles.	A tumbler is a drinking glass with straight sides.	0.55	0.68	0.1803523439832786
A grin is a broad smile.	A smile is the expression that you have on your face when you are pleased or amused, or when you are being friendly.	1.94	1.29	0.1400482925146602
In former times, serfs were a class of people who had to work on a particular person's land and could not leave without that person's permission.	A slave is someone who is the property of another person and has to work for that person.	1.93	1.09	0.2874878758486906
A When you make a journey, you travel from one place to another.	A voyage is a long journey on a ship or in a spacecraft.	1.44	1.09	0.205118262892594
An autograph is the signature of someone famous which is specially written for a fan to keep.	Your signature is your name, written in your own characteristic way, often at the end of a document to indicate that you wrote the document or that you agree with what it says.	1.62	1.29	0.2901968427207172
The coast is an area of land that is next to the sea.	The shores or shore of a sea, lake or wide river is the land along the edge of it.	2.35	1.05	0.2991343379288234
A forest is a large area where trees grow close together.	Woodland is land with a lot of trees.	2.51	1.05	0.1877241929055401
An implement is a tool or other piece of equipment.	A tool is any instrument or simple piece of equipment that you hold in your hands and use to do a particular kind of work.	2.36	1.28	0.2908996629504796
A cock is an adult male chicken.	A rooster is an adult male chicken.	3.45	0.81	0.6950925181013676
A boy is a child who will grow up to be a man.	A lad is a young man or boy.	2.32	1.24	0.2039180765805877
A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.	A pillow is a rectangular cushion which you rest your head on when you are in bed.	2.09	1.06	0.2229452880212099
A cemetery is a place where dead people's bodies or their ashes are buried.	A graveyard is an area of land, sometimes near a church, where dead people are buried.	3.09	0.92	0.3025819553234696
An automobile is a car.	A car is a motor vehicle with room for a small number of passengers.	2.23	1.26	0.2019056261343013
Midday is 12 o'clock in the middle of the day.	Noon is 12 o'clock in the middle of the day.	3.82	0.54	0.922874093605801
A gem is a jewel or stone that is used in jewellery.	A jewel is a precious stone used to decorate valuable things that you wear, such as rings or necklaces.	2.61	1.31	0.4103353867214236
Would you like to go out to drink with me tonight?	I really don't know what to eat tonight so I might go out somewhere.	1.01	0.77	0.3401842664776754
I advise you to treat this matter very seriously as it is vital.	You must take this most seriously, it will affect you.	3.38	0.69	0.3094098883572568
When I was going out to meet my friends there was a delay at the train station.	The train operator announced to the passengers that the train would be delayed.	3.13	0.68	0.2420228777844671
Does music help you to relax, or does it distract you too much?	Does this sponge look wet or dry to you?	0.1	0.29	0.2443954428518927
You must realise that you will definitely be punished if you play with the alarm.	He will be harshly punished for setting the fire alarm off.	2.84	0.87	0.2580542264752791
I will make you laugh so much that your sides ache.	When I tell you this you will split your sides laughing.	3.75	0.38	0.4310425432445067
You shouldn't be covering what you really feel.	There is no point in covering up what you said, we all know.	2.21	0.97	0.2537248028045574
Do you want to come with us to the pub behind the hill?	We are going out for drinks tonight in Salford Quays if you would like to come.	1.82	1.09	0.1471631205673759
This key doesn't seem to be working, could you give me another?	I dislike the word quay, it confuses me, I always think of things for locks, there's another one.	0.72	0.87	0.1579076620825147
The ghost appeared from nowhere and frightened the old man.	The ghost of Queen Victoria appears to me every night, I don't know why, I don't even like the royals.	1.45	0.75	0.1334661354581673
You're not a good friend if you're not prepared to be present when I need you.	A good friend always seems to be present when you need them.	3.14	0.94	0.5715430861723447
The children crossed the road very safely thanks to the help of the lollipop lady.	It was feared that the child might not recover, because he was seriously ill.	0.13	0.29	0.1087231352718078
I have invited a variety of people to my party so it should be interesting.	A number of invitations were given out to a variety of people inviting them down the pub.	2.18	0.88	0.2970027247956402
I offer my condolences to the parents of John Smith, who was unfortunately murdered.	I express my sympathy to John Smith’s parents following his murder.	3.91	0.23	0.3542600896860987
Boats come in all shapes and sizes but they all do the same thing.	Chairs can be comfy and not comfy, depending on the chair.	0.5	0.69	0.1565034544908381
If you continuously use these products, I guarantee you will look very young.	I assure you that, by using these products consistently over a long period of time, you will appear really young.	3.58	0.57	0.3263037902536335
We ran farther than the other children that day.	You ran farther than anyone today.	2.43	1.06	0.3563084112149532
I always like to have a slice of lemon in my drink especially if it's Coke.	I like to put a wedge of lemon in my drinks, especially cola.	3.81	0.55	0.5763309813983323
It seems like I've got eczema on my ear doctor, can you recommend something for me?	I had to go to a chemist for a special rash cream for my ear.	2.05	0.9	0.1546718711880946
I am proud of our nation, well, most of it.	I think of myself as being part of a nation.	1.71	1.03	0.1924223073648361
There was a heap of rubble left by the builders outside my house this morning.	Sometimes in a large crowd accidents may happen, which can cause deadly injuries.	0.09	0.27	0.0975024015369836
Water freezes at a certain temperature, which is zero degrees Celsius.	The temperature of boiling water is 100 C and the temperature of ice is 0 C.	3.08	0.98	0.2051368705643799
We got home safely in the end, although it was a long journey.	Though it took many hours travel, we finally reached our house safely.	3.06	0.95	0.2112514351320321
A man called Dave gave his fiancée a large diamond ring for their engagement.	The man presented a diamond to the woman and asked her to marry him.	3.22	0.73	0.2522161853016872
I used to run quite a lot, in fact once I ran for North Tyneside.	I used to climb lots at school as we had a new climbing wall put in the gym.	0.74	0.75	0.2690342982242764
I love to laugh as it makes me happy as well as those around me.	I thought we bargained that it would only cost me a pound.	0.08	0.32	0.2401466544454629
Because I am the eldest one I should be more responsible.	Just because of my age, people shouldn't think I'm a responsible adult, but they do?	2.23	0.79	0.1252777777777778
I need to dash into the kitchen because I think my chip pan is on fire.	In the event of a chip pan fire follow the instructions on the safety note.	1.7	1.03	0.2326604554865424
Peter was a very large youth, whose size intimidated most people, much to his delight.	Now I wouldn't say he was fat, but I'd certainly say he was one of the larger boys.	1.96	0.95	0.110969387755102
I'm going to buy a grey jumper today, in half an hour.	That's a nice grey top, where did you get it from?	1.25	0.98	0.1585290482076637
We got soaked in the rain today, but now we are nice and dry.	I was absolutely soaking wet last night, I drove my bike through the worst weather.	1.68	0.75	0.1396476895583355
Global warming is what everyone is worrying about today.	The problem of global warming is a concern to every country in the world at the moment.	3.14	0.84	0.2016806722689075
He was harshly punished for setting the fire alarms off.	He delayed his response, in order to create a tense atmosphere.	0.22	0.6	0.0887372013651877
Midday is 12 o'clock in the middle of the day.	Noon is 12 o'clock in the middle of the day.	3.96	0.16	0.922874093605801
That's not a very good car, on the other hand mine is great.	This is a terrible noise level for a new car.	1.05	0.95	0.1624246483590087
There was a terrible accident, a pileup, on the M16 today.	It was a terrible accident, no one believed it was possible.	2.33	0.93	0.3502426113806793
After hours of getting lost we eventually arrived at the hotel.	After walking against the strong wind for hours he finally returned home safely.	1.09	0.91	0.2459714198844633
The first thing I do in a morning is make myself a cup of coffee.	The first thing I do in the morning is have a cup of coffee.	3.85	0.39	0.8264997842037117
Someone spilt a drink accidentally on my shirt, so I changed it.	It appears to have shrunk, it wasn't that size before I washed it.	0.48	0.72	0.0968992248062015
I'm worried most seriously about the presentation, not the essay.	It is mostly very difficult to gain full marks in today's exam.	0.77	0.82	0.0794547872340425
It is mostly very difficult to gain full marks in today's exam.	The exam was really difficult, I've got no idea if I'm going to pass.	2.54	0.98	0.1963101758431824
Meet me on the hill behind the church in half an hour.	Join me on the hill at the back of the church in thirty minutes time.	3.93	0.25	0.449391304347826
If you don't console with a friend, there is a chance you may hurt their feelings.	One of the qualities of a good friend is the ability to console.	3.01	0.85	0.1900558987937628
We tried to bargain with him but it made no difference, he still didn't change his mind.	I tried bargaining with him, but he just wouldn't listen.	3.43	0.54	0.3278048780487804
It gives me great pleasure to announce the winner of this year's beauty pageant.	It’s a real pleasure to tell you who has won our annual beauty parade.	3.88	0.24	0.2224645583424209
They said they were hoping to go to America on holiday.	I like to cover myself up in lots of layers, I don't like the cold.	0.16	0.5	0.099241097489784
Will I have to drive far to get to the nearest petrol station?	Is it much farther for me to drive to the next gas station?	3.84	0.37	0.3465314136125654
I think I know her from somewhere because she has a familiar face.	You have a very familiar face, where do I know you from?	3.36	0.8	0.3834503140007388
I am sorry but I can't go out as I have a heap of work to do.	I’ve a heap of things to finish so I can’t go out I’m afraid.	3.6	0.72	0.4774330042313117
The responsible man felt very guilty when he crashed into the back of someone's car.	A slow driver can be annoying even though they are driving safely.	0.88	0.75	0.0655656889327088
Get that wet dog off my brand new white sofa.	Make that wet hound get off my white couch – I only just bought it.	3.59	0.86	0.4458048253510983
He fought in the war in Iraq before being killed in a car crash.	The prejudice I suffered whilst on holiday in Iraq was quite alarming.	0.55	0.65	0.217741935483871
The cat was hungry so he went into the back garden to find lunch.	The hen walked about in the yard eating tasty grain.	1.2	0.82	0.1144278606965174
My bedroom wall is lemon coloured but my mother says it is yellow.	Roses can be different colours, it has to be said red is the best though.	0.68	0.77	0.1327027027027026
Would you like to drink this wine with your meal?	Will you drink a glass of wine while you eat?	3.56	0.65	0.2185574483508517
Roses can be different colours, it has to be said red is the best though.	Roses come in many varieties and colours, but yellow is my favourite.	2.83	0.9	0.1970239735464315
Flies can also carry a lot of disease and cause maggots.	I dry my hair after I wash it or I will get ill.	0.12	0.28	0.0607073238652186
Could you climb up the tree and save my cat from jumping please?	Can you get up that tree and rescue my cat otherwise it might jump?	3.83	0.34	0.3825834542815675
The pleasure that I get from studying, is that I learn new things.	I have a doubt about this exam, we never got to study for it.	0.74	0.76	0.1440531177829099
The perpetrators of war crimes are rotten to the core.	There are many global issues that everybody should be aware of, such as the threat of terrorism.	0.95	0.91	0.176370349332576
The damp was mostly in the very corner of the room.	The young lady was somewhat partially burnt from the sun.	0.11	0.31	0.1805081532043989
We often ran to school because we were always late.	I knew I was late for my class so I ran all the way to school.	3.1	0.85	0.2036793692509855
I hope you're taking this seriously, if not you can get out of here.	The difficult course meant that only the strong would survive.	0.5	0.87	0.0976514215080346
The shores or shore of a sea, lake or wide river is the land along the edge of it.	An autograph is the signature of someone famous which is specially written for a fan to keep.	0.11	0.43	0.1959093149334647
I bought a new guitar today, do you like it?	The weapon choice reflects the personality of the carrier.	0.16	0.34	0.031634446397188
I am so hungry I could eat a whole horse plus dessert.	I could have eaten another meal, I'm still starving.	3.06	0.85	0.1822697745510125
