sent1	sent2	score	score2	yago_similarity
A rooster is an adult male chicken.	A voyage is a long journey on a ship or in a spacecraft.	0.02	0.09	0.38047193376596244
Noon is 12 o'clock in the middle of the day.	String is thin rope made of twisted threads, used for tying things together or tying up parcels.	0.05	0.2	0.06677704894950294
Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.	A furnace is a container or enclosed space in which a very hot fire is made, for example to melt metal, burn rubbish or produce steam.	0.19	0.63	0.38285067722381455
An autograph is the signature of someone famous which is specially written for a fan to keep.	The shores or shore of a sea, lake or wide river is the land along the edge of it.	0.02	0.09	0.15609791019270985
An automobile is a car.	In legends and fairy stories, a wizard is a man who has magic powers.	0.08	0.26	0.23437611153589952
A mound of something is a large rounded pile of it.	A stove is a piece of equipment which provides heat, either for cooking or for heating a room.	0.02	0.26	0.2775463898385537
A grin is a broad smile.	An implement is a tool or other piece of equipment.	0.02	0.08	0.1696097710543873
An Asylum is a psychiatric hospital.	Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.	0.02	0.09	0.25409882218605145
An Asylum is a psychiatric hospital.	A monk is a member of a male religious community that is usually separated from the outside world.	0.15	0.34	0.2207184535980006
A graveyard is an area of land, sometimes near a church, where dead people are buried.	If you describe a place or situation as a madhouse you mean that it is full of confusion and noise.	0.09	0.32	0.31876485639052465
Glass is a hard transparent substance that is used to make things such as windows and bottles.	A magician is a person who entertains people by doing magic tricks.	0.03	0.12	0.19355910737308174
A boy is a child who will grow up to be a man.	A rooster is an adult male chicken.	0.43	0.72	0.35332558100453393
A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.	A jewel is a precious stone used to decorate valuable things that you wear, such as rings or necklaces.	0.21	0.48	0.2683262614628966
A monk is a member of a male religious community that is usually separated from the outside world.	A slave is someone who is the property of another person and has to work for that person.	0.18	0.38	0.19984648550931122
An Asylum is a psychiatric hospital.	A cemetery is a place where dead people's bodies or their ashes are buried.	0.15	0.42	0.2739928166473487
The coast is an area of land that is next to the sea.	A forest is a large area where trees grow close together.	0.19	0.34	0.16096252237616795
A grin is a broad smile.	A lad is a young man or boy.	0.05	0.14	0.3838798201496687
The shores or shore of a sea, lake or wide river is the land along the edge of it.	Woodland is land with a lot of trees.	0.33	0.42	0.18821691321200745
A monk is a member of a male religious community that is usually separated from the outside world.	In ancient times, an oracle was a priest or priestess who made statements about future events or about the truth.	0.45	0.61	0.18415647331499665
A boy is a child who will grow up to be a man.	A sage is a person who is regarded as being very wise.	0.17	0.35	0.34260280554930955
An automobile is a car.	A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.	0.08	0.21	0.20656112743250377
A mound of something is a large rounded pile of it.	The shores or shore of a sea, lake or wide river is the land along the edge of it.	0.14	0.29	0.19926304311576395
A lad is a young man or boy.	In legends and fairy stories, a wizard is a man who has magic powers.	0.13	0.27	0.3287691978750414
A forest is a large area where trees grow close together.	A graveyard is an area of land, sometimes near a church, where dead people are buried.	0.26	0.4	0.26539245553057933
Food is what people and animals eat.	A rooster is an adult male chicken.	0.22	0.44	0.3215843222134393
A cemetery is a place where dead people's bodies or their ashes are buried.	Woodland is land with a lot of trees.	0.15	0.31	0.36178366433167203
The shores or shore of a sea, lake or wide river is the land along the edge of it.	A voyage is a long journey on a ship or in a spacecraft.	0.08	0.23	0.21448561098055874
A bird is a creature with feathers and wings, females lay eggs and most birds can fly.	Woodland is land with a lot of trees.	0.05	0.18	0.234883232103357
The coast is an area of land that is next to the sea.	A hill is an area of land that is higher than the land that surrounds it.	0.4	0.53	0.2579352894766145
A furnace is a container or enclosed space in which a very hot fire is made, for example to melt metal, burn rubbish or produce steam.	An implement is a tool or other piece of equipment.	0.2	0.46	0.3473209741480176
A crane is a large machine that moves heavy things by lifting them in the air.	A rooster is an adult male chicken.	0.08	0.22	0.2583538288820005
A hill is an area of land that is higher than the land that surrounds it.	Woodland is land with a lot of trees.	0.58	0.73	0.28575113373260197
A car is a motor vehicle with room for a small number of passengers.	When you make a journey, you travel from one place to another.	0.29	0.52	0.3305924163705214
A cemetery is a place where dead people's bodies or their ashes are buried.	A mound of something is a large rounded pile of it.	0.23	0.44	0.300471532814672
Glass is a hard transparent substance that is used to make things such as windows and bottles.	A jewel is a precious stone used to decorate valuable things that you wear, such as rings or necklaces.	0.43	0.71	0.3086510454153478
A magician is a person who entertains people by doing magic tricks.	In ancient times, an oracle was a priest or priestess who made statements about future events or about the truth.	0.52	0.65	0.2182699052898883
A crane is a large machine that moves heavy things by lifting them in the air.	An implement is a tool or other piece of equipment.	0.74	0.89	0.2864442801547568
Your brother is a boy or a man who has the same parents as you.	A lad is a young man or boy.	0.51	0.53	0.4472826126719744
A sage is a person who is regarded as being very wise.	In legends and fairy stories, a wizard is a man who has magic powers.	0.61	0.78	0.315874607828527
In ancient times, an oracle was a priest or priestess who made statements about future events or about the truth.	A sage is a person who is regarded as being very wise.	1.13	0.94	0.23522388221109022
A bird is a creature with feathers and wings, females lay eggs and most birds can fly.	A crane is a large machine that moves heavy things by lifting them in the air.	0.14	0.3	0.3453570678783547
A bird is a creature with feathers and wings, females lay eggs and most birds can fly.	A cock is an adult male chicken.	0.65	0.63	0.366822708262182
Food is what people and animals eat.	Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.	0.97	0.94	0.1752380511498556
Your brother is a boy or a man who has the same parents as you.	A monk is a member of a male religious community that is usually separated from the outside world.	0.18	0.37	0.33322590311325084
An Asylum is a psychiatric hospital.	If you describe a place or situation as a madhouse you mean that it is full of confusion and noise.	0.86	0.86	0.2480374359435328
A furnace is a container or enclosed space in which a very hot fire is made, for example to melt metal, burn rubbish or produce steam.	A stove is a piece of equipment which provides heat, either for cooking or for heating a room.	1.39	0.99	0.38190060154249544
A magician is a person who entertains people by doing magic tricks.	In legends and fairy stories, a wizard is a man who has magic powers.	1.42	0.92	0.42140388712639026
A hill is an area of land that is higher than the land that surrounds it.	A mound of something is a large rounded pile of it.	1.17	1.01	0.22851277587160929
Cord is strong, thick string.	String is thin rope made of twisted threads, used for tying things together or tying up parcels.	1.88	1.22	0.13519766697173327
Glass is a hard transparent substance that is used to make things such as windows and bottles.	A tumbler is a drinking glass with straight sides.	0.55	0.68	0.24577864542277722
A grin is a broad smile.	A smile is the expression that you have on your face when you are pleased or amused, or when you are being friendly.	1.94	1.29	0.20352762570917815
In former times, serfs were a class of people who had to work on a particular person's land and could not leave without that person's permission.	A slave is someone who is the property of another person and has to work for that person.	1.93	1.09	0.2602978363990113
A When you make a journey, you travel from one place to another.	A voyage is a long journey on a ship or in a spacecraft.	1.44	1.09	0.48098564813778144
An autograph is the signature of someone famous which is specially written for a fan to keep.	Your signature is your name, written in your own characteristic way, often at the end of a document to indicate that you wrote the document or that you agree with what it says.	1.62	1.29	0.15600365952680026
The coast is an area of land that is next to the sea.	The shores or shore of a sea, lake or wide river is the land along the edge of it.	2.35	1.05	0.2538510805378596
A forest is a large area where trees grow close together.	Woodland is land with a lot of trees.	2.51	1.05	0.4067533380321326
An implement is a tool or other piece of equipment.	A tool is any instrument or simple piece of equipment that you hold in your hands and use to do a particular kind of work.	2.36	1.28	0.37539576806186825
A cock is an adult male chicken.	A rooster is an adult male chicken.	3.45	0.81	0.5714285714285714
A boy is a child who will grow up to be a man.	A lad is a young man or boy.	2.32	1.24	0.36104097122881945
A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.	A pillow is a rectangular cushion which you rest your head on when you are in bed.	2.09	1.06	0.3035154667467282
A cemetery is a place where dead people's bodies or their ashes are buried.	A graveyard is an area of land, sometimes near a church, where dead people are buried.	3.09	0.92	0.41216089565316466
An automobile is a car.	A car is a motor vehicle with room for a small number of passengers.	2.23	1.26	0.38120026133330376
Midday is 12 o'clock in the middle of the day.	Noon is 12 o'clock in the middle of the day.	3.82	0.54	0.4
A gem is a jewel or stone that is used in jewellery.	A jewel is a precious stone used to decorate valuable things that you wear, such as rings or necklaces.	2.61	1.31	0.3835909395288482
Would you like to go out to drink with me tonight?	I really don't know what to eat tonight so I might go out somewhere.	1.01	0.77	0.23155132621082858
I advise you to treat this matter very seriously as it is vital.	You must take this most seriously, it will affect you.	3.38	0.69	0.17401509797408535
When I was going out to meet my friends there was a delay at the train station.	The train operator announced to the passengers that the train would be delayed.	3.13	0.68	0.21917428434566905
Does music help you to relax, or does it distract you too much?	Does this sponge look wet or dry to you?	0.1	0.29	0.2905098279321446
You must realise that you will definitely be punished if you play with the alarm.	He will be harshly punished for setting the fire alarm off.	2.84	0.87	0.18249252198667767
I will make you laugh so much that your sides ache.	When I tell you this you will split your sides laughing.	3.75	0.38	0.30810115579680386
You shouldn't be covering what you really feel.	There is no point in covering up what you said, we all know.	2.21	0.97	0.2033877793193537
Do you want to come with us to the pub behind the hill?	We are going out for drinks tonight in Salford Quays if you would like to come.	1.82	1.09	0.12096000407861764
This key doesn't seem to be working, could you give me another?	I dislike the word quay, it confuses me, I always think of things for locks, there's another one.	0.72	0.87	0.15347986215034198
The ghost appeared from nowhere and frightened the old man.	The ghost of Queen Victoria appears to me every night, I don't know why, I don't even like the royals.	1.45	0.75	0.09970453771925594
You're not a good friend if you're not prepared to be present when I need you.	A good friend always seems to be present when you need them.	3.14	0.94	0.41508169757510516
The children crossed the road very safely thanks to the help of the lollipop lady.	It was feared that the child might not recover, because he was seriously ill.	0.13	0.29	0.12446511048521755
I have invited a variety of people to my party so it should be interesting.	A number of invitations were given out to a variety of people inviting them down the pub.	2.18	0.88	0.33681874552914204
I offer my condolences to the parents of John Smith, who was unfortunately murdered.	I express my sympathy to John Smith’s parents following his murder.	3.91	0.23	0.24959100196691703
Boats come in all shapes and sizes but they all do the same thing.	Chairs can be comfy and not comfy, depending on the chair.	0.5	0.69	0.14764040824686536
If you continuously use these products, I guarantee you will look very young.	I assure you that, by using these products consistently over a long period of time, you will appear really young.	3.58	0.57	0.20774891004352472
We ran farther than the other children that day.	You ran farther than anyone today.	2.43	1.06	0.0
I always like to have a slice of lemon in my drink especially if it's Coke.	I like to put a wedge of lemon in my drinks, especially cola.	3.81	0.55	0.36133341092759425
It seems like I've got eczema on my ear doctor, can you recommend something for me?	I had to go to a chemist for a special rash cream for my ear.	2.05	0.9	0.055149504397028135
I am proud of our nation, well, most of it.	I think of myself as being part of a nation.	1.71	1.03	0.29687598185089914
There was a heap of rubble left by the builders outside my house this morning.	Sometimes in a large crowd accidents may happen, which can cause deadly injuries.	0.09	0.27	0.22233603627069773
Water freezes at a certain temperature, which is zero degrees Celsius.	The temperature of boiling water is 100 C and the temperature of ice is 0 C.	3.08	0.98	0.32694860360222544
We got home safely in the end, although it was a long journey.	Though it took many hours travel, we finally reached our house safely.	3.06	0.95	0.1876658686324667
A man called Dave gave his fiancée a large diamond ring for their engagement.	The man presented a diamond to the woman and asked her to marry him.	3.22	0.73	0.2570927660347847
I used to run quite a lot, in fact once I ran for North Tyneside.	I used to climb lots at school as we had a new climbing wall put in the gym.	0.74	0.75	0.3958836670755518
I love to laugh as it makes me happy as well as those around me.	I thought we bargained that it would only cost me a pound.	0.08	0.32	0.4063780680339503
Because I am the eldest one I should be more responsible.	Just because of my age, people shouldn't think I'm a responsible adult, but they do?	2.23	0.79	0.07724280908987423
I need to dash into the kitchen because I think my chip pan is on fire.	In the event of a chip pan fire follow the instructions on the safety note.	1.7	1.03	0.2929930046953868
Peter was a very large youth, whose size intimidated most people, much to his delight.	Now I wouldn't say he was fat, but I'd certainly say he was one of the larger boys.	1.96	0.95	0.16091034857278733
I'm going to buy a grey jumper today, in half an hour.	That's a nice grey top, where did you get it from?	1.25	0.98	0.30675281886351563
We got soaked in the rain today, but now we are nice and dry.	I was absolutely soaking wet last night, I drove my bike through the worst weather.	1.68	0.75	0.147016502324203
Global warming is what everyone is worrying about today.	The problem of global warming is a concern to every country in the world at the moment.	3.14	0.84	0.10837883448133431
He was harshly punished for setting the fire alarms off.	He delayed his response, in order to create a tense atmosphere.	0.22	0.6	0.23618702987267542
Midday is 12 o'clock in the middle of the day.	Noon is 12 o'clock in the middle of the day.	3.96	0.16	0.4
That's not a very good car, on the other hand mine is great.	This is a terrible noise level for a new car.	1.05	0.95	0.19043340501228806
There was a terrible accident, a pileup, on the M16 today.	It was a terrible accident, no one believed it was possible.	2.33	0.93	0.14859400179664586
After hours of getting lost we eventually arrived at the hotel.	After walking against the strong wind for hours he finally returned home safely.	1.09	0.91	0.174971420004534
The first thing I do in a morning is make myself a cup of coffee.	The first thing I do in the morning is have a cup of coffee.	3.85	0.39	0.6230272927251465
Someone spilt a drink accidentally on my shirt, so I changed it.	It appears to have shrunk, it wasn't that size before I washed it.	0.48	0.72	0.16279722714119477
I'm worried most seriously about the presentation, not the essay.	It is mostly very difficult to gain full marks in today's exam.	0.77	0.82	0.0
It is mostly very difficult to gain full marks in today's exam.	The exam was really difficult, I've got no idea if I'm going to pass.	2.54	0.98	0.10544578297405793
Meet me on the hill behind the church in half an hour.	Join me on the hill at the back of the church in thirty minutes time.	3.93	0.25	0.32968676031648514
If you don't console with a friend, there is a chance you may hurt their feelings.	One of the qualities of a good friend is the ability to console.	3.01	0.85	0.19590142945126274
We tried to bargain with him but it made no difference, he still didn't change his mind.	I tried bargaining with him, but he just wouldn't listen.	3.43	0.54	0.13449747272543633
It gives me great pleasure to announce the winner of this year's beauty pageant.	It’s a real pleasure to tell you who has won our annual beauty parade.	3.88	0.24	0.19050562500912643
They said they were hoping to go to America on holiday.	I like to cover myself up in lots of layers, I don't like the cold.	0.16	0.5	0.08164464503021215
Will I have to drive far to get to the nearest petrol station?	Is it much farther for me to drive to the next gas station?	3.84	0.37	0.1857743147137654
I think I know her from somewhere because she has a familiar face.	You have a very familiar face, where do I know you from?	3.36	0.8	0.4345547732533134
I am sorry but I can't go out as I have a heap of work to do.	I’ve a heap of things to finish so I can’t go out I’m afraid.	3.6	0.72	0.5369976576249559
The responsible man felt very guilty when he crashed into the back of someone's car.	A slow driver can be annoying even though they are driving safely.	0.88	0.75	0.1294131958312573
Get that wet dog off my brand new white sofa.	Make that wet hound get off my white couch – I only just bought it.	3.59	0.86	0.37646463625100857
He fought in the war in Iraq before being killed in a car crash.	The prejudice I suffered whilst on holiday in Iraq was quite alarming.	0.55	0.65	0.33434995503242276
The cat was hungry so he went into the back garden to find lunch.	The hen walked about in the yard eating tasty grain.	1.2	0.82	0.16004310563806318
My bedroom wall is lemon coloured but my mother says it is yellow.	Roses can be different colours, it has to be said red is the best though.	0.68	0.77	0.24484988788361287
Would you like to drink this wine with your meal?	Will you drink a glass of wine while you eat?	3.56	0.65	0.3323350794053877
Roses can be different colours, it has to be said red is the best though.	Roses come in many varieties and colours, but yellow is my favourite.	2.83	0.9	0.24864376634654795
Flies can also carry a lot of disease and cause maggots.	I dry my hair after I wash it or I will get ill.	0.12	0.28	0.31885582239696925
Could you climb up the tree and save my cat from jumping please?	Can you get up that tree and rescue my cat otherwise it might jump?	3.83	0.34	0.236353388357169
The pleasure that I get from studying, is that I learn new things.	I have a doubt about this exam, we never got to study for it.	0.74	0.76	0.16738165625366014
The perpetrators of war crimes are rotten to the core.	There are many global issues that everybody should be aware of, such as the threat of terrorism.	0.95	0.91	0.1279722599260058
The damp was mostly in the very corner of the room.	The young lady was somewhat partially burnt from the sun.	0.11	0.31	0.03569685311667304
We often ran to school because we were always late.	I knew I was late for my class so I ran all the way to school.	3.1	0.85	0.10718296662850868
I hope you're taking this seriously, if not you can get out of here.	The difficult course meant that only the strong would survive.	0.5	0.87	0.12161847858556182
The shores or shore of a sea, lake or wide river is the land along the edge of it.	An autograph is the signature of someone famous which is specially written for a fan to keep.	0.11	0.43	0.15609791019270985
I bought a new guitar today, do you like it?	The weapon choice reflects the personality of the carrier.	0.16	0.34	0.09793136102299585
I am so hungry I could eat a whole horse plus dessert.	I could have eaten another meal, I'm still starving.	3.06	0.85	0.3543029760708576
